month,KR_EQ,KR_BOND,GOLD_KR_H,US_TECH_KR,US_EQ_KR_H,KR_SMALL,US_BOND_KR,US_EQ_KR,US_TECH_KR_TR,US_EQ
2024-08,-0.04786885,0.00429043,0.03508186,-0.01031811,0.01901993,-0.03514019,-0.01230517,-0.00532907,-0.01058655,-0.01307228
2024-09,-0.04352617,0.00509366,0.05164622,0.00540751,0.01768685,-0.00309957,-0.01287375,0.00133941,0.00607287,0.00899993
2024-10,-0.01828917,-0.00212522,0.04481277,0.06957532,0.00752843,-0.01204819,0.02145562,0.06313537,0.07070997,0.03891813
2024-11,-0.04239401,0.01171363,-0.04641598,0.04095261,0.03759936,-0.10739575,0.01523888,0.0508304,0.04161074,0.06836591
2024-12,-0.01776961,-0.0016193,-0.0194085,0.08888545,-0.01241094,-0.00617012,0.0356998,0.04909004,0.08969072,0.02863103
2025-01,0.04663132,0.00559565,0.07257304,-0.00699177,0.01621286,0.09223947,-0.00744222,0.00684775,-0.00662252,0.00121976
2025-02,0.01001644,0.00209677,0.01230228,-0.0414089,-0.03694656,0.02598457,0.02525651,-0.02953203,-0.04166667,-0.00835519
2025-03,0.00251628,0.00169,0.08506944,-0.06856418,-0.06032023,-0.11515631,0.01424172,-0.04892322,-0.06832298,-0.03807462
2025-04,0.01473498,0.0102836,0.052,-0.0133846,0.0016027,0.04552773,-0.02998102,-0.03298056,-0.01370667,-0.02759771
2025-05,0.06497716,-0.0010338,-0.00988593,0.06360712,0.06248947,0.02232718,-0.04186228,0.03424482,0.06338028,0.02065624
2025-06,0.15384615,-0.00023882,-0.00230415,0.04131092,0.03582752,0.06257875,-0.00775827,0.0291574,0.04202751,0.03235869
2025-07,0.05757794,0.00214985,-0.00025661,0.07204206,0.04346495,0.06284585,0.02345679,0.06496999,0.07206062,0.04301842
2025-08,-0.01650541,0.00246305,0.03593429,0.00302239,0.00696685,-0.01375976,0.01568154,0.01401447,0.00274348,0.02472593
2025-09,0.10266204,-0.00309107,0.12388503,0.05002739,0.02301362,0.0520362,0.01227237,0.03588943,0.0503876,0.04576324
2025-10,0.2235751,-0.00166958,0.03284832,0.07416925,0.02669609,0.10143369,0.01838092,0.04755756,0.07371391,0.03917105
2025-11,-0.04290997,-0.00573385,0.04332978,0.00319197,-0.0084593,0.03481939,0.04262673,0.02800659,0.00324281,0.03123681
2025-12,0.09424978,-0.01041249,0.03784779,-0.0119697,0.00727273,-0.02955975,-0.02664693,-0.00841346,-0.01212121,-0.01963112
2026-01,0.27079399,-0.00283286,0.17614424,0.00481521,-0.00154418,0.32858069,-0.01064639,-0.00040404,0.00462168,0.00915107
2026-02,0.21751504,0.00649351,0.00033693,-0.02772259,-0.00815466,0.02926829,0.01998463,-0.00445795,-0.0271484,-0.01037883
2026-03,-0.19857629,-0.01201613,-0.12664197,-0.01317196,-0.07392445,-0.13957346,0.0440844,-0.00895583,-0.01321863,0.00994662
2026-04,0.33038579,0.0018774,0.00019283,0.13551655,0.10929129,0.09518039,-0.03753158,0.07710002,0.1359983,0.07781702
2026-05,0.34943196,0.00032589,-0.01542317,0.13458621,0.06195667,-0.05666079,0.01537308,0.08180428,0.13529743,0.0738052
2026-06,0.02792716,0.0047239,-0.1153319,0.01537547,-0.01767152,-0.11558996,0.03434269,0.01201413,0.01454545,0.01317174
2026-07,-0.21342907,0.00154021,0.01637893,-0.12165326,-0.00085979,-0.26954422,-0.09139593,-0.07084497,-0.12160313,-0.06480586
